method,nfe_x,nfe_t,doe_build_time,doe_init_time,doe_solve_time,doe_wall_time,ipopt_iters,obj_eval,grad_eval,eq_con_eval,eq_jac_eval,hess_eval,ipopt_cpu_wo_feval,ipopt_cpu_nlp_feval,ipopt_exit,stage_share_build,stage_share_init,stage_share_solve,solve_time_per_iter,overhead_time,build_ratio,init_ratio,solve_ratio,wall_ratio,solve_time_per_iter_ratio
central,10,20,0.2015692499699071,0.19721104193013161,1.1434128284454346,1.545063278870657,25.0,28.0,26.0,28.0,26.0,25.0,0.99,0.001,Optimal Solution Found.,0.13046019067726558,0.12763945957882084,0.7400427180440121,0.04573651313781738,0.4016504504252225,1.9841597020446953,1.0142451052803139,1.0319720022911614,1.15399479709441,1.0319720022911614
central,25,40,0.7965540420264006,0.9660442090826109,9.465343952178955,11.23486857721582,33.0,41.0,34.0,41.0,34.0,33.0,8.785,0.007,Optimal Solution Found.,0.07090016554726797,0.0859862491886854,0.84249707837033,0.28682860461148346,1.7695246250368655,7.1583122827594865,1.004896169293172,1.0153552861888746,1.4467709010238536,1.0153552861888746
central,2,2,0.06953650002833456,0.024902959004975855,0.03984427452087402,0.13428373355418444,14.0,15.0,15.0,15.0,15.0,14.0,0.017,0.0,Optimal Solution Found.,0.5178326383089139,0.1854503024741067,0.2967170592169794,0.002846019608633859,0.09443945903331041,0.9398667170336997,0.920044602432794,0.9769326049102736,0.9471887811332886,0.9769326049102734
central,50,75,3.7738761249929667,3.8362796250730753,53.123327016830444,60.691061766818166,40.0,41.0,41.0,41.0,41.0,40.0,49.287,0.028,Optimal Solution Found.,0.06218174497412189,0.0632099606332888,0.8753072605804162,1.3280831754207612,7.567734749987721,26.87781937572369,0.9931406743962745,0.9991671445772664,2.6086869779293655,0.9991671445772664
central,5,10,0.10457712493371218,0.06645708298310637,0.2781240940093994,0.449218156398274,21.0,25.0,22.0,25.0,22.0,21.0,0.219,0.0,Optimal Solution Found.,0.23279808138697483,0.14793944108569365,0.6191292360917316,0.013244004476638068,0.1710940623888746,1.181586078979895,0.9440760600220442,0.9864984994046481,1.0255071191841625,0.9864984994046481
symbolic,10,20,0.3999455829616636,0.20002033398486674,1.1799700260162354,1.7829949849983677,25.0,28.0,26.0,28.0,26.0,25.0,1.032,0.001,Optimal Solution Found.,0.2243111093001923,0.11218221905713877,0.6617909954566225,0.04719880104064941,0.6030249589821324,1.9841597020446953,1.0142451052803139,1.0319720022911614,1.15399479709441,1.0319720022911614
symbolic,25,40,5.7019825829193,0.9707741250749677,9.610687017440796,16.254280934343114,33.0,41.0,34.0,41.0,34.0,33.0,8.913,0.007,Optimal Solution Found.,0.35079882068924845,0.059724212285752504,0.5912711276654942,0.29123293992244836,6.643593916902319,7.1583122827594865,1.004896169293172,1.0153552861888746,1.4467709010238536,1.0153552861888746
symbolic,2,2,0.06535504199564457,0.022911833017133176,0.0389251708984375,0.12719204591121525,14.0,15.0,15.0,15.0,15.0,14.0,0.018,0.0,Optimal Solution Found.,0.5138296308345005,0.18013573767911936,0.3060346314863801,0.002780369349888393,0.08826687501277775,0.9398667170336997,0.920044602432794,0.9769326049102736,0.9471887811332886,0.9769326049102734
symbolic,50,75,101.433560833917,3.809965334017761,53.07908296585083,158.32398250780534,40.0,41.0,41.0,41.0,41.0,40.0,49.704,0.028,Optimal Solution Found.,0.6406708524333409,0.024064360140952937,0.3352561129722343,1.3269770741462708,105.24489954195451,26.87781937572369,0.9931406743962745,0.9991671445772664,2.6086869779293655,0.9991671445772664
symbolic,5,10,0.12356687500141561,0.06274054106324911,0.2743690013885498,0.4606764174532145,21.0,25.0,22.0,25.0,22.0,21.0,0.224,0.0,Optimal Solution Found.,0.26822921755912293,0.13619221363685483,0.5955785688040223,0.013065190542311896,0.18630741606466472,1.181586078979895,0.9440760600220442,0.9864984994046481,1.0255071191841625,0.9864984994046481
