problem	instance	mode	solver	run_id	deriv_check	objective_option
two_param_sin	large	existing	ipopt	two_param_sin_large_existing_determinant	none	determinant
two_param_sin	large	existing	ipopt	two_param_sin_large_existing_trace	none	trace
two_param_sin	large	existing	ipopt	two_param_sin_large_existing_minimum_eigenvalue	none	minimum_eigenvalue
two_param_sin	large	existing	ipopt	two_param_sin_large_existing_condition_number	none	condition_number
two_param_sin	large	greybox	ipopt	two_param_sin_large_greybox_determinant	none	determinant
two_param_sin	large	greybox	ipopt	two_param_sin_large_greybox_trace	none	trace
two_param_sin	large	greybox	ipopt	two_param_sin_large_greybox_minimum_eigenvalue	none	minimum_eigenvalue
two_param_sin	large	greybox	ipopt	two_param_sin_large_greybox_condition_number	none	condition_number
4_state_reactor	large	existing	ipopt	4_state_reactor_large_existing_determinant	none	determinant
4_state_reactor	large	existing	ipopt	4_state_reactor_large_existing_trace	none	trace
4_state_reactor	large	existing	ipopt	4_state_reactor_large_existing_minimum_eigenvalue	none	minimum_eigenvalue
4_state_reactor	large	existing	ipopt	4_state_reactor_large_existing_condition_number	none	condition_number
4_state_reactor	large	greybox	ipopt	4_state_reactor_large_greybox_determinant	none	determinant
4_state_reactor	large	greybox	ipopt	4_state_reactor_large_greybox_trace	none	trace
4_state_reactor	large	greybox	ipopt	4_state_reactor_large_greybox_minimum_eigenvalue	none	minimum_eigenvalue
4_state_reactor	large	greybox	ipopt	4_state_reactor_large_greybox_condition_number	none	condition_number
4st_6pmt	large	existing	ipopt	4st_6pmt_large_existing_determinant	none	determinant
4st_6pmt	large	existing	ipopt	4st_6pmt_large_existing_trace	none	trace
4st_6pmt	large	existing	ipopt	4st_6pmt_large_existing_minimum_eigenvalue	none	minimum_eigenvalue
4st_6pmt	large	existing	ipopt	4st_6pmt_large_existing_condition_number	none	condition_number
4st_6pmt	large	greybox	ipopt	4st_6pmt_large_greybox_determinant	none	determinant
4st_6pmt	large	greybox	ipopt	4st_6pmt_large_greybox_trace	none	trace
4st_6pmt	large	greybox	ipopt	4st_6pmt_large_greybox_minimum_eigenvalue	none	minimum_eigenvalue
4st_6pmt	large	greybox	ipopt	4st_6pmt_large_greybox_condition_number	none	condition_number
PDE_diffusion	large	existing	ipopt	PDE_diffusion_large_existing_determinant	none	determinant
PDE_diffusion	large	existing	ipopt	PDE_diffusion_large_existing_trace	none	trace
PDE_diffusion	large	existing	ipopt	PDE_diffusion_large_existing_minimum_eigenvalue	none	minimum_eigenvalue
PDE_diffusion	large	existing	ipopt	PDE_diffusion_large_existing_condition_number	none	condition_number
PDE_diffusion	large	greybox	ipopt	PDE_diffusion_large_greybox_determinant	none	determinant
PDE_diffusion	large	greybox	ipopt	PDE_diffusion_large_greybox_trace	none	trace
PDE_diffusion	large	greybox	ipopt	PDE_diffusion_large_greybox_minimum_eigenvalue	none	minimum_eigenvalue
PDE_diffusion	large	greybox	ipopt	PDE_diffusion_large_greybox_condition_number	none	condition_number
